term,tau,estimate,std.error,p.value,cohort_id,week,condition,module,indicator,lo,hi
z_cum_freq,0.75,0.974492074245465,1.4526268504461677,0.5029059599559393,STAT0002_2223,11,in_person,STAT0002,Frequency,-1.8726565526290235,3.8216407011199536
z_cum_imm,0.75,1.272619567188149,2.2201841605357187,0.5669960059222052,STAT0002_2223,11,in_person,STAT0002,Immediacy,-3.07894138746186,5.6241805218381575
z_cum_div,0.75,1.6115493106497456,2.096245823919475,0.44271445136168053,STAT0002_2223,11,in_person,STAT0002,Diversity,-2.4970925042324255,5.720191125531917
z_cum_freq,0.9,0.7389140771330424,2.424053030947256,0.7607398579645861,STAT0002_2223,11,in_person,STAT0002,Frequency,-4.012229863523579,5.490058017789664
z_cum_imm,0.9,-1.055938548951826,1.891564366026168,0.5771584325676489,STAT0002_2223,11,in_person,STAT0002,Immediacy,-4.763404706363115,2.6515276084594634
z_cum_div,0.9,3.4002996633853195,2.162466899881672,0.11705609596766275,STAT0002_2223,11,in_person,STAT0002,Diversity,-0.838135460382758,7.638734787153397
z_cum_freq,0.1,3.1372681112273675,1.5879902246551914,0.04908998942095755,STAT0004_2021,6,online,STAT0004,Frequency,0.024807270903192347,6.249728951551543
z_cum_imm,0.1,-2.01581284054465,2.394322761207353,0.40048955866067626,STAT0004_2021,6,online,STAT0004,Immediacy,-6.708685452511062,2.6770597714217623
z_cum_div,0.1,4.272047574669793,1.3750610848187907,0.002067402190269796,STAT0004_2021,6,online,STAT0004,Diversity,1.5769278484249636,6.967167300914623
z_cum_freq,0.25,0.1425641727910038,1.164008016523592,0.9026011609520543,STAT0004_2021,6,online,STAT0004,Frequency,-2.1388915395952366,2.4240198851772443
z_cum_imm,0.25,0.5229785592998563,1.4870220144666966,0.7253073183166552,STAT0004_2021,6,online,STAT0004,Immediacy,-2.391584589054869,3.4375417076545816
z_cum_div,0.25,3.2009911959537782,1.2361863752806699,0.010070661880214882,STAT0004_2021,6,online,STAT0004,Diversity,0.7780659004036652,5.623916491503891
z_cum_freq,0.5,0.138238758975582,1.330033973785997,0.9172875758518371,STAT0004_2021,6,online,STAT0004,Frequency,-2.4686278296449724,2.745105347596136
z_cum_imm,0.5,-0.5032614272317332,1.1539166077725782,0.6630455728636586,STAT0004_2021,6,online,STAT0004,Immediacy,-2.7649379784659867,1.75841512400252
z_cum_div,0.5,2.9121314329295775,1.2256439641421815,0.0181127929913254,STAT0004_2021,6,online,STAT0004,Diversity,0.5098692632109021,5.314393602648253
z_cum_freq,0.75,-0.3593143960096563,1.159679862866639,0.7568926916512613,STAT0004_2021,6,online,STAT0004,Frequency,-2.632286927228269,1.9136581352089561
z_cum_imm,0.75,2.0985678654362094,1.2912366036829093,0.10513446150919181,STAT0004_2021,6,online,STAT0004,Immediacy,-0.4322558777822927,4.6293916086547116
z_cum_div,0.75,1.2818367761271405,1.6979652876488036,0.4508707268858603,STAT0004_2021,6,online,STAT0004,Diversity,-2.0461751876645144,4.609848739918796
z_cum_freq,0.9,-1.282294822790053,1.4292401532563634,0.3703202056608448,STAT0004_2021,6,online,STAT0004,Frequency,-4.083605523172525,1.5190158775924194
z_cum_imm,0.9,0.8743552824971783,1.7974563844033735,0.6270009378844752,STAT0004_2021,6,online,STAT0004,Immediacy,-2.6486592309334336,4.397369795927791
z_cum_div,0.9,2.146363488036222,2.084712598757678,0.30401839280789966,STAT0004_2021,6,online,STAT0004,Diversity,-1.939673205528826,6.23240018160127
