term,tau,estimate,std.error,p.value,cohort_id,week,predictor,condition,module,indicator,lo,hi
z_cum_imm,0.25,6.8662866295732545,1.1934206769661666,2.4081507010720316e-8,STAT0002_2223,11,z_cum_imm,in_person,STAT0002,Immediacy,4.527182102719568,9.205391156426941
z_cum_imm,0.5,5.062539431398166,1.1805304108163224,2.5235900056763683e-5,STAT0002_2223,11,z_cum_imm,in_person,STAT0002,Immediacy,2.7486998261981745,7.376379036598157
z_cum_imm,0.75,3.6777744756417365,0.6736074579440953,1.0961881802273865e-7,STAT0002_2223,11,z_cum_imm,in_person,STAT0002,Immediacy,2.35750385807131,4.998045093212163
z_cum_imm,0.9,2.77190317279542,1.0098406741119499,0.006467018603205865,STAT0002_2223,11,z_cum_imm,in_person,STAT0002,Immediacy,0.7926154515359984,4.751190894054842
z_cum_div,0.1,6.984593753838391,1.016958156572646,4.6195935965442914e-11,STAT0002_2223,11,z_cum_div,in_person,STAT0002,Diversity,4.991355766956005,8.977831740720777
z_cum_div,0.25,7.130836337548081,1.3336847987986058,1.9346521651364412e-7,STAT0002_2223,11,z_cum_div,in_person,STAT0002,Diversity,4.516814131902814,9.744858543193349
z_cum_div,0.5,4.9073261334672695,0.7744405199793646,1.0039893361124541e-9,STAT0002_2223,11,z_cum_div,in_person,STAT0002,Diversity,3.389422714307715,6.425229552626824
z_cum_div,0.75,4.096005907403943,1.0058352209647856,6.153516616280719e-5,STAT0002_2223,11,z_cum_div,in_person,STAT0002,Diversity,2.1245688743129634,6.067442940494923
z_cum_div,0.9,2.9722378083042904,0.6133211674366567,2.1457323096107928e-6,STAT0002_2223,11,z_cum_div,in_person,STAT0002,Diversity,1.7701283201284435,4.174347296480137
z_cum_freq,0.1,4.349615904547737,1.0460702881483699,4.1588306029183286e-5,STAT0004_2021,6,z_cum_freq,online,STAT0004,Frequency,2.2993181397769322,6.399913669318542
z_cum_freq,0.25,3.372407455717579,0.8071946568339011,3.829283363643299e-5,STAT0004_2021,6,z_cum_freq,online,STAT0004,Frequency,1.790305928323133,4.954508983112025
z_cum_freq,0.5,2.2191357673837047,0.6833917911527386,0.0012929799721854707,STAT0004_2021,6,z_cum_freq,online,STAT0004,Frequency,0.8796878567243369,3.5585836780430724
z_cum_freq,0.75,1.9408439985286836,0.8590106123949354,0.024553005154566154,STAT0004_2021,6,z_cum_freq,online,STAT0004,Frequency,0.2571831982346102,3.6245047988227572
z_cum_freq,0.9,1.5593001584125505,0.96440334992338,0.1069267367876332,STAT0004_2021,6,z_cum_freq,online,STAT0004,Frequency,-0.3309304074372741,3.449530724262375
z_cum_imm,0.1,4.352006515512601,2.0910376413194087,0.03822996864528738,STAT0004_2021,6,z_cum_imm,online,STAT0004,Immediacy,0.25357273852656004,8.45044029249864
z_cum_imm,0.25,3.607104473675848,0.707175102262073,5.904785953525504e-7,STAT0004_2021,6,z_cum_imm,online,STAT0004,Immediacy,2.221041273242185,4.993167674109511
z_cum_imm,0.5,2.1536921959300024,0.9677020677491586,0.026761775518192366,STAT0004_2021,6,z_cum_imm,online,STAT0004,Immediacy,0.25699614314165165,4.050388248718353
z_cum_imm,0.75,2.7636035512456494,0.6507743742522688,2.8719211339733874e-5,STAT0004_2021,6,z_cum_imm,online,STAT0004,Immediacy,1.4880857777112027,4.039121324780096
z_cum_imm,0.9,2.2237909234642474,0.697519200680597,0.0015781167475505953,STAT0004_2021,6,z_cum_imm,online,STAT0004,Immediacy,0.8566532901302772,3.5909285567982177
z_cum_div,0.1,4.777423704329542,1.0941275752769026,1.7235809321780593e-5,STAT0004_2021,6,z_cum_div,online,STAT0004,Diversity,2.632933656786813,6.921913751872271
z_cum_div,0.25,3.6933586051268112,0.5207809216345145,8.997913525377044e-12,STAT0004_2021,6,z_cum_div,online,STAT0004,Diversity,2.672627998723163,4.714089211530459
z_cum_div,0.5,2.764877365568451,0.811620074638809,7.444820442601419e-4,STAT0004_2021,6,z_cum_div,online,STAT0004,Diversity,1.1741020192763851,4.355652711860516
z_cum_div,0.75,2.38653062227653,0.9121679719089456,0.009323420273839922,STAT0004_2021,6,z_cum_div,online,STAT0004,Diversity,0.5986813973349965,4.174379847218063
z_cum_div,0.9,2.2264845252378844,0.519959871283534,2.4726846806100156e-5,STAT0004_2021,6,z_cum_div,online,STAT0004,Diversity,1.2073631775221576,3.245605872953611
z_cum_freq,0.1,4.564021858129818,0.8438343187999112,1.2710210373079178e-7,STAT0004_2021,11,z_cum_freq,online,STAT0004,Frequency,2.9101065932819923,6.217937122977644
